Test,Rows,Columns,RowSpanBytes,DurationMs
CreatePrealloc,100,3,16,0.002
CreateWithData,100,3,16,0.004
GetRaw_1000Iters,100,3,16,0.008
SetRaw_1000Iters,100,3,16,0.008
Dump,100,3,16,0.003
CreatePrealloc,1000,3,16,0.000
CreateWithData,1000,3,16,0.029
GetRaw_1000Iters,1000,3,16,0.008
SetRaw_1000Iters,1000,3,16,0.005
Dump,1000,3,16,0.035
CreatePrealloc,10000,3,16,0.039
CreateWithData,10000,3,16,0.230
GetRaw_1000Iters,10000,3,16,0.006
SetRaw_1000Iters,10000,3,16,0.006
Dump,10000,3,16,0.347
CreatePrealloc,100000,3,16,0.632
CreateWithData,100000,3,16,2.716
GetRaw_1000Iters,100000,3,16,0.007
SetRaw_1000Iters,100000,3,16,0.004
Dump,100000,3,16,3.316
CreatePrealloc,1000000,3,16,6.297
CreateWithData,1000000,3,16,27.036
GetRaw_1000Iters,1000000,3,16,0.023
SetRaw_1000Iters,1000000,3,16,0.008
Dump,1000000,3,16,32.683
CreatePrealloc,10000000,3,16,61.821
CreateWithData,10000000,3,16,275.369
GetRaw_1000Iters,10000000,3,16,0.042
SetRaw_1000Iters,10000000,3,16,0.008
Dump,10000000,3,16,316.792
